Name of the Nucleophile,Nucleophile ID Number,Type Of Nucleophile,Solvent,N,sN,EHF,EDFT,ECORR,EHF(HOMO),EDFT(HOMO),ECORR(HOMO),EHF(LUMO),EDFT(LUMO),ECORR(LUMO),cHF,cDFT,cCORR,hHF,hDFT,hCORR,mHF,mDFT,mCORR,wHF,wDFT,wCORR,dHF,dDFT,dCORR,HHF,HDFT,HCORR,GHF,GDFT,GCORR,NBOHF,NBODFT,NBOCORR,Mol.Mass,Surface Area,Volume,Ovality,Diameter,RG,E*DFT,E*HF,E*CORR,E*DFT(HOMO),E*HF(HOMO),E*CORR(HOMO),E*DFT(LUMO),E*HF(LUMO),E*CORR(LUMO),c*DFT,c*HF,c*CORR,h*DFT,h*HF,h*CORR,m*DFT,m*HF,m*CORR,w*DFT,w*HF,w*CORR,d*DFT,d*HF,d*CORR,H*DFT,H*HF,H*CORR,G*DFT,G*HF,G*CORR
2-(4-NO2-C6H4)CH(-)CO2Et (in DMSO),C426,C-Nucleophile,DMSO,20.000,0.710,-738.577,-742.983,-4.406,-0.234,-0.170,0.064,0.071,-0.069,-0.140,0.082,0.120,0.038,0.305,0.101,-0.204,-0.082,-0.120,-0.038,0.011,0.071,0.060,5.421,6.338,0.917,-463329.161,-466101.654,-2772.493,-463364.095,-466137.678,-2773.583,-0.561,-0.435,0.126,208.191,257.673,280.783,1.243,12.947,3.350,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
1-(ethoxycarbonyl)-2-oxocyclooctan-1-ide (in DMSO),C427,C-Nucleophile,DMSO,20.020,0.760,-651.286,-655.380,-4.094,-0.252,-0.161,0.091,0.159,0.015,-0.144,0.047,0.073,0.027,0.411,0.176,-0.235,-0.047,-0.073,-0.027,0.003,0.015,0.013,7.493,7.017,-0.476,-408501.594,-411081.954,-2580.359,-408535.941,-411117.340,-2581.400,-0.529,-0.394,0.135,197.251,260.608,307.874,1.182,10.959,2.639,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
1-(isoquinolin-2-ium-2-yl)-2-oxo-2-phenylethan-1-ide (in DMSO),C428,C-Nucleophile,DMSO,20.080,0.570,-780.790,-785.796,-5.006,-0.271,-0.196,0.075,0.047,-0.082,-0.129,0.112,0.139,0.027,0.318,0.114,-0.204,-0.112,-0.139,-0.027,0.020,0.085,0.065,10.088,7.954,-2.134,-489773.759,-492925.326,-3151.566,-489809.572,-492961.859,-3152.286,-0.305,-0.193,0.112,247.291,310.828,356.846,1.278,16.032,3.851,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
anion of diethyl malonate (in DMSO),C430,C-Nucleophile,DMSO,20.220,0.650,-571.206,-574.573,-3.367,-0.277,-0.176,0.101,0.157,0.034,-0.123,0.060,0.071,0.011,0.434,0.210,-0.224,-0.060,-0.071,-0.011,0.004,0.012,0.008,10.462,9.411,-1.051,-358311.392,-360431.920,-2120.528,-358344.920,-360466.570,-2121.649,-0.721,-0.619,0.102,159.160,233.875,239.859,1.253,10.169,2.583,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
3-(4-methoxyphenyl)-1-methyl-1H-imidazol-3-ium-2-ide (in THF),C432,C-Nucleophile,THF,20.410,0.460,-607.379,-611.220,-3.841,-0.303,-0.218,0.085,0.121,-0.020,-0.141,0.091,0.119,0.028,0.424,0.198,-0.226,-0.091,-0.119,-0.028,0.010,0.036,0.026,2.297,1.933,-0.364,-380986.275,-383405.471,-2419.196,-381018.893,-383438.888,-2419.995,0.158,0.062,-0.096,188.226,259.729,284.667,1.241,13.708,3.165,-232.511,-231.032,-1.479,-0.246,-0.404,0.158,0.036,0.150,-0.114,0.105,0.127,-0.022,0.282,0.554,-0.272,-0.105,-0.127,0.022,0.020,0.015,0.005,2.206,2.275,-0.069,-145827.450,-144894.345,-933.105,-145847.036,-144913.766,-933.270
2-ethoxy-1-fluoro-2-oxo-1-(phenylsulfonyl)ethan-1-ide (in DMSO),C433,C-Nucleophile,DMSO,20.510,0.640,-1181.138,-1186.305,-5.167,-0.303,-0.192,0.111,0.105,-0.033,-0.138,0.099,0.113,0.014,0.408,0.159,-0.249,-0.099,-0.113,-0.014,0.012,0.040,0.028,12.999,11.703,-1.296,-741039.273,-744289.867,-3250.594,-741076.546,-744329.220,-3252.674,-0.284,-0.210,0.074,245.247,273.194,305.017,1.247,10.964,2.741,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
1-(ethoxycarbonyl)-2-oxocyclododecan-1-ide (in DMSO),C434,C-Nucleophile,DMSO,20.600,0.630,-843.005,-848.369,-5.364,-0.240,-0.158,0.082,0.158,0.019,-0.139,0.041,0.070,0.029,0.398,0.177,-0.221,-0.041,-0.070,-0.029,0.002,0.014,0.012,7.708,7.376,-0.332,-528753.903,-532133.919,-3380.016,-528792.617,-532173.602,-3380.985,-0.529,-0.403,0.126,261.336,321.178,393.344,1.237,13.122,3.157,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
MeSO-CH-CO2Et (in DMSO),C435,C-Nucleophile,DMSO,20.610,0.640,-321.322,-323.243,-1.921,-0.268,-0.154,0.114,0.170,0.045,-0.125,0.049,0.055,0.005,0.438,0.199,-0.239,-0.049,-0.055,-0.005,0.003,0.007,0.005,8.277,6.931,-1.346,-201566.445,-201483.295,83.149,-201590.267,-202800.048,-1209.781,-0.522,-0.602,-0.080,88.085,138.445,133.121,1.098,7.141,1.626,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
anion of 2-nitropropane (in DMSO),C436,C-Nucleophile,DMSO,20.610,0.690,-816.857,-820.040,-3.183,-0.285,-0.181,0.104,0.170,0.042,-0.128,0.058,0.070,0.012,0.455,0.223,-0.232,-0.058,-0.070,-0.012,0.004,0.011,0.007,7.936,7.473,-0.463,-512486.276,-514489.633,-2003.357,-512516.837,-514521.060,-2004.222,-0.883,-0.801,0.082,149.188,207.638,211.050,1.211,11.664,2.581,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
"1,3-diethoxy-2-fluoro-1,3-dioxopropan-2-ide (in DMSO)",C437,C-Nucleophile,DMSO,20.630,0.760,-670.073,-673.827,-3.754,-0.276,-0.171,0.105,0.156,0.026,-0.130,0.060,0.073,0.013,0.432,0.197,-0.235,-0.060,-0.073,-0.013,0.004,0.013,0.009,11.452,10.207,-1.245,-420355.883,-422718.915,-2363.032,-420391.018,-422755.357,-2364.339,-0.044,0.033,0.077,177.150,236.697,242.811,1.258,10.162,2.612,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
anion of nitromethane (in DMSO),C438,C-Nucleophile,DMSO,20.710,0.600,-243.231,-244.587,-1.356,-0.289,-0.172,0.117,0.196,0.033,-0.163,0.047,0.070,0.023,0.485,0.205,-0.280,-0.047,-0.070,-0.023,0.002,0.012,0.010,4.013,3.033,-0.980,-152602.349,-153455.402,-853.053,-152621.151,-153474.552,-853.400,-0.349,-0.422,-0.073,60.032,93.247,77.067,1.065,5.955,1.175,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
Me2S=CH(4-CN-C6H4) (in DMSO),C439,C-Nucleophile,DMSO,21.070,0.680,-837.099,-840.702,-3.603,-0.245,-0.179,0.066,0.107,-0.034,-0.141,0.069,0.107,0.038,0.352,0.145,-0.207,-0.069,-0.107,-0.038,0.007,0.039,0.032,17.152,17.068,-0.084,-525158.292,-527426.693,-2268.401,-525190.816,-527460.238,-2269.422,-0.735,-0.641,0.094,177.266,249.986,272.719,1.229,12.811,3.095,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
3-mesityl-1-methyl-1H-imidazol-3-ium-2-ide (in THF),C442,C-Nucleophile,THF,21.500,0.450,-610.604,-614.644,-4.040,-0.326,-0.225,0.101,0.131,-0.014,-0.145,0.098,0.120,0.022,0.457,0.211,-0.246,-0.098,-0.120,-0.022,0.010,0.034,0.023,3.082,3.061,-0.021,-382975.572,-385521.692,-2546.119,-383012.442,-385560.115,-2547.672,0.160,0.062,-0.098,200.280,286.277,328.917,1.243,12.688,2.902,-232.511,-231.032,-1.479,-0.246,-0.404,0.158,0.036,0.150,-0.114,0.105,0.127,-0.022,0.282,0.554,-0.272,-0.105,-0.127,0.022,0.020,0.015,0.005,2.206,2.275,-0.069,-145827.450,-144894.345,-933.105,-145847.036,-144913.766,-933.270
anion of nitroethane (in DMSO),C443,C-Nucleophile,DMSO,21.540,0.620,-282.278,-283.916,-1.638,-0.278,-0.162,0.116,0.180,0.040,-0.140,0.049,0.061,0.012,0.458,0.202,-0.256,-0.049,-0.061,-0.012,0.003,0.009,0.007,6.807,5.606,-1.201,-177084.914,-178116.121,-1031.207,-177106.431,-178138.193,-1031.762,-0.531,-0.612,-0.081,74.059,117.343,105.630,1.086,7.133,1.479,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
"3-(2,6-dimethoxyphenyl)-1-methyl-1H-imidazol-3-ium-2-ide (in THF)",C447,C-Nucleophile,THF,23.000,0.460,-721.285,-725.767,-4.482,-0.316,-0.221,0.095,0.128,-0.016,-0.144,0.094,0.119,0.025,0.444,0.205,-0.239,-0.094,-0.119,-0.025,0.010,0.034,0.024,3.185,3.090,-0.095,-452440.000,-455263.211,-2823.211,-452476.549,-455301.112,-2824.562,0.167,0.070,-0.097,218.252,293.269,324.838,1.284,11.637,2.840,-232.511,-231.032,-1.479,-0.246,-0.404,0.158,0.036,0.150,-0.114,0.105,0.127,-0.022,0.282,0.554,-0.272,-0.105,-0.127,0.022,0.020,0.015,0.005,2.206,2.275,-0.069,-145827.450,-144894.345,-933.105,-145847.036,-144913.766,-933.270
"anion of 1,2-diphenylethanone (in DMSO)",C449,C-Nucleophile,DMSO,23.150,0.600,-611.649,-615.612,-3.963,-0.226,-0.153,0.073,0.113,-0.024,-0.137,0.057,0.089,0.032,0.339,0.129,-0.210,-0.057,-0.089,-0.032,0.005,0.030,0.026,5.548,5.298,-0.250,-383670.607,-386165.789,-2495.182,-383702.511,-386198.663,-2496.152,-0.540,-0.445,0.095,195.237,264.392,294.967,1.234,14.031,3.337,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
2-(pyrid-4-yl)CH(-)CO2Et (in DMSO),C450,C-Nucleophile,DMSO,23.270,0.700,-551.041,-554.452,-3.411,-0.236,-0.159,0.077,0.143,0.000,-0.143,0.047,0.080,0.033,0.379,0.159,-0.220,-0.047,-0.080,-0.033,0.003,0.020,0.017,5.128,4.644,-0.484,-345659.851,-347807.235,-2147.384,-345690.451,-347838.761,-2148.310,-0.615,-0.509,0.106,164.181,228.903,245.319,1.208,11.800,2.771,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
"1,3-dimesityl-4,5-dihydro-1H-imidazol-3-ium-2-ide (in THF)",C451,C-Nucleophile,THF,23.350,0.400,-919.456,-925.610,-6.154,-0.319,-0.219,0.100,0.130,-0.013,-0.143,0.095,0.116,0.022,0.449,0.206,-0.243,-0.095,-0.116,-0.022,0.010,0.033,0.023,3.480,3.568,0.088,-576672.644,-580551.120,-3878.476,-576723.086,-580602.505,-3879.419,0.278,0.171,-0.107,306.445,400.108,503.407,1.308,16.758,3.946,-232.511,-231.032,-1.479,-0.246,-0.404,0.158,0.036,0.150,-0.114,0.105,0.127,-0.022,0.282,0.554,-0.272,-0.105,-0.127,0.022,0.020,0.015,0.005,2.206,2.275,-0.069,-145827.450,-144894.345,-933.105,-145847.036,-144913.766,-933.270
2-(4-CN-C6H4)CH(-)CO2Et (in DMSO),C452,C-Nucleophile,DMSO,23.640,0.650,-626.802,-630.684,-3.882,-0.228,-0.160,0.068,0.111,-0.026,-0.137,0.059,0.093,0.035,0.339,0.134,-0.205,-0.059,-0.093,-0.035,0.005,0.032,0.027,4.835,5.046,0.211,-393192.469,-395635.754,-2443.285,-393226.185,-395670.648,-2444.463,-0.600,-0.483,0.117,188.203,255.854,276.536,1.247,12.801,3.231,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
sodium indenide (in DMSO),C454,C-Nucleophile,DMSO,23.740,0.710,-506.845,-509.597,-2.752,-0.212,-0.145,0.067,0.031,-0.012,-0.043,0.091,0.079,-0.012,0.243,0.133,-0.110,-0.091,-0.079,0.012,0.017,0.023,0.006,27.055,27.085,0.030,-317960.580,-319692.356,-1731.776,-317987.299,-319719.489,-1732.190,-0.404,-0.378,0.026,138.142,225.803,234.379,1.228,12.741,2.867,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
bromo(phenylsulfonyl)methanide (in DMSO),C455,C-Nucleophile,DMSO,23.900,0.620,-3388.294,-3393.310,-5.016,-0.305,-0.191,0.114,0.096,-0.042,-0.138,0.105,0.117,0.012,0.401,0.149,-0.252,-0.105,-0.117,-0.012,0.014,0.046,0.032,10.883,9.907,-0.976,-2126102.972,-2129255.625,-3152.653,-2126133.418,-2129286.964,-3153.546,-0.883,-0.878,0.005,234.090,216.478,233.636,1.180,11.265,2.706,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
anion of (4-CF3-C6H4)CH2SO2Ph (in DMSO),C457,C-Nucleophile,DMSO,24.300,0.510,-1381.823,-1388.032,-6.209,-0.247,-0.171,0.076,0.107,-0.031,-0.138,0.070,0.101,0.031,0.354,0.140,-0.214,-0.070,-0.101,-0.031,0.007,0.036,0.030,10.919,9.364,-1.555,-866955.353,-870860.906,-3905.553,-866996.095,-870902.652,-3906.557,-0.861,-0.739,0.122,299.288,305.802,351.309,1.270,13.288,3.692,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
anion of 1-phenylpropan-2-one (in DMSO),C459,C-Nucleophile,DMSO,24.990,0.660,-421.086,-423.817,-2.731,-0.222,-0.145,0.077,0.145,0.008,-0.137,0.039,0.069,0.030,0.367,0.153,-0.214,-0.039,-0.069,-0.030,0.002,0.015,0.013,10.054,8.190,-1.864,-264128.234,-265847.910,-1719.676,-264155.465,-265875.579,-1720.114,-0.581,-0.481,0.100,133.167,198.107,212.468,1.151,10.091,2.477,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
anion of 4-cyanobenzyl-CN (in DMSO),C460,C-Nucleophile,DMSO,25.110,0.540,-452.814,-455.688,-2.874,-0.228,-0.160,0.068,0.114,-0.023,-0.137,0.057,0.092,0.035,0.342,0.137,-0.205,-0.057,-0.092,-0.035,0.005,0.031,0.026,4.944,4.302,-0.642,-284063.819,-285871.649,-1807.830,-284091.279,-285899.702,-1808.423,-0.635,-0.537,0.098,141.149,197.573,204.714,1.176,11.681,2.746,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
anion of 2-(4-CN-C6H4)propionitrile (in DMSO),C461,C-Nucleophile,DMSO,25.350,0.560,-491.852,-495.009,-3.157,-0.221,-0.155,0.066,0.114,-0.023,-0.137,0.054,0.089,0.036,0.335,0.132,-0.203,-0.054,-0.089,-0.036,0.004,0.030,0.026,4.871,4.773,-0.098,-308541.147,-310527.904,-1986.757,-308570.630,-310558.107,-1987.477,-0.423,-0.318,0.105,155.176,217.007,231.509,1.190,11.546,2.824,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
chloro((4-cyanophenyl)sulfonyl)methanide (in DMSO),C462,C-Nucleophile,DMSO,25.590,0.710,-1367.183,-1371.653,-4.470,-0.311,-0.193,0.118,0.061,-0.074,-0.135,0.125,0.134,0.009,0.372,0.119,-0.253,-0.125,-0.134,-0.009,0.021,0.075,0.054,10.021,9.055,-0.966,-857835.858,-860645.951,-2810.093,-857868.148,-860679.628,-2811.479,-0.822,-0.819,0.003,214.649,231.016,248.515,1.209,12.803,3.053,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
anion of (benzylsulfonyl)benzene (in DMSO),C463,C-Nucleophile,DMSO,25.770,0.560,-1046.106,-1050.885,-4.779,-0.241,-0.163,0.078,0.112,-0.026,-0.138,0.065,0.095,0.030,0.353,0.137,-0.216,-0.065,-0.095,-0.030,0.006,0.033,0.027,11.552,9.980,-1.572,-656295.049,-659302.892,-3007.843,-656329.458,-659338.269,-3008.811,-0.882,-0.770,0.112,231.290,275.966,315.728,1.231,11.316,2.922,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
cyano(pyridin-1-ium-1-yl)methanide (in DMSO),C464,C-Nucleophile,DMSO,25.940,0.420,-377.488,-379.901,-2.413,-0.264,-0.191,0.073,0.066,-0.065,-0.131,0.099,0.128,0.029,0.330,0.126,-0.204,-0.099,-0.128,-0.029,0.015,0.065,0.050,11.549,8.937,-2.612,-236796.234,-238314.404,-1518.170,-236820.461,-238339.671,-1519.211,-0.430,-0.293,0.137,118.136,174.283,178.541,1.137,9.753,2.203,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
2-ethoxy-2-oxo-1-(pyridin-1-ium-1-yl)ethan-1-ide (in DMSO),C465,C-Nucleophile,DMSO,26.710,0.370,-551.489,-554.908,-3.419,-0.270,-0.192,0.078,0.069,-0.064,-0.133,0.101,0.128,0.028,0.339,0.128,-0.211,-0.101,-0.128,-0.028,0.015,0.064,0.049,7.963,5.434,-2.529,-345931.844,-348084.896,-2153.052,-345963.032,-348116.357,-2153.325,-0.381,-0.247,0.134,165.189,233.307,249.716,1.217,12.531,2.860,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
chloro((4-chlorophenyl)sulfonyl)methanide (in DMSO),C466,C-Nucleophile,DMSO,26.900,0.450,-1734.349,-1739.007,-4.658,-0.310,-0.192,0.118,0.090,-0.048,-0.138,0.110,0.120,0.010,0.400,0.144,-0.256,-0.110,-0.120,-0.010,0.015,0.050,0.035,14.154,13.459,-0.695,-1088241.962,-1091169.713,-2927.751,-1088273.649,-1091202.686,-2929.037,-0.819,-0.818,0.001,224.084,226.539,244.758,1.197,12.196,3.082,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
1-((diphenylmethylene)amino)-2-ethoxy-2-oxoethan-1-ide (in DMSO),C467,C-Nucleophile,DMSO,26.950,0.520,-857.505,-862.961,-5.456,-0.226,-0.149,0.077,0.111,-0.029,-0.140,0.058,0.089,0.032,0.337,0.120,-0.217,-0.058,-0.089,-0.032,0.005,0.033,0.028,7.182,4.766,-2.416,-537888.775,-541324.618,-3435.844,-537929.351,-541366.419,-3437.068,-0.430,-0.291,0.139,266.314,339.677,397.049,1.300,13.682,3.416,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
2-(diethylamino)-2-oxo-1-(pyridin-1-ium-1-yl)ethan-1-ide (in DMSO),C469,C-Nucleophile,DMSO,27.450,0.380,-609.724,-613.672,-3.948,-0.267,-0.182,0.085,0.072,-0.057,-0.129,0.098,0.120,0.022,0.339,0.125,-0.214,-0.098,-0.120,-0.022,0.014,0.057,0.043,7.506,5.303,-2.203,-382427.866,-384915.534,-2487.668,-382463.231,-384951.719,-2488.488,-0.450,-0.234,0.216,192.258,272.697,309.551,1.232,12.583,3.029,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
2-PhCH(-)CO2Et (in DMSO),C470,C-Nucleophile,DMSO,27.540,0.570,-535.030,-538.399,-3.369,-0.219,-0.145,0.074,0.152,0.012,-0.140,0.034,0.067,0.033,0.371,0.157,-0.214,-0.034,-0.067,-0.033,0.002,0.014,0.013,6.703,5.571,-1.132,-335605.377,-337727.099,-2121.722,-335636.290,-337758.879,-2122.589,-0.624,-0.525,0.099,163.193,235.815,254.378,1.215,11.868,2.784,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
2-(3-Cl-C6H4)CH(-)CO2Et (in DMSO),C471,C-Nucleophile,DMSO,27.570,0.530,-993.958,-998.027,-4.069,-0.225,-0.151,0.074,0.141,0.002,-0.139,0.042,0.075,0.033,0.366,0.153,-0.213,-0.042,-0.075,-0.033,0.002,0.018,0.016,7.097,5.897,-1.200,-623592.148,-626152.874,-2560.726,-623624.978,-626186.730,-2561.753,-0.620,-0.516,0.104,197.638,251.386,272.996,1.235,13.074,3.219,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
2-(4-Br-C6H4)CH(-)CO2Et (in DMSO),C472,C-Nucleophile,DMSO,27.620,0.530,-3106.819,-3111.946,-5.127,-0.222,-0.149,0.073,0.141,0.001,-0.140,0.041,0.074,0.034,0.363,0.150,-0.213,-0.041,-0.074,-0.034,0.002,0.018,0.016,9.061,8.030,-1.031,-1949432.813,-1952657.791,-3224.978,-1949466.684,-1952692.763,-3226.079,-0.621,-0.518,0.103,242.089,257.129,280.343,1.242,12.531,3.446,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
